name,aliases,birth_date,death_date,occupation,biography,description
Arniko,Araniko; Balabahu,1245 CE,1306 CE,Architect; Sculptor,"Newar architect from Patan who traveled to Yuan Dynasty China at the invitation of Kublai Khan. Built the White Stupa at Miaoying Temple in Beijing and introduced Nepali pagoda architecture to China and Tibet.",Legendary Newar architect who influenced Chinese and Tibetan architecture
Bhimsen Thapa,,1775 CE,1839 CE,Prime Minister; Military Commander,"Mukhtiyar (Prime Minister) of Nepal from 1806 to 1837. Modernized the Nepali army, built Dharahara tower, and maintained Nepal's sovereignty during British expansion.",Nepal's first powerful Prime Minister
Pratap Malla,,c. 1624 CE,1674 CE,King; Poet; Patron of Arts,"King of Kantipur (Kathmandu) during the late Malla period. Known as Kavindra (King of Poets), he erected the Hanuman Dhoka palace inscription in 15 languages and was a great patron of art and architecture.",Malla king and polyglot poet of Kathmandu
Jaya Sthiti Malla,,c. 1340 CE,1395 CE,King; Lawgiver,"King of Bhaktapur who unified the three Malla kingdoms briefly and codified the Newar caste system (Jayasthiti Malla Code). Patron of learning and social reform.",Medieval Malla king who codified social laws
Amshuverma,,c. 565 CE,c. 621 CE,King; Diplomat,"Lichhavi-era king of Nepal. Built the Kailaskut Bhawan palace, developed trade routes to Tibet, and married his daughter Bhrikuti to Tibetan king Songtsen Gampo, spreading Buddhism to Tibet.",Lichhavi king who forged Nepal-Tibet ties
Laxmi Prasad Devkota,,1909 CE,1959 CE,Poet; Author,"Greatest Nepali poet, known as Mahakavi. Wrote 'Muna Madan' — the most beloved Nepali poem — and numerous other literary works. Pioneered modern Nepali literature.",Mahakavi — the greatest poet of Nepal
Bhrikuti,,c. 600 CE,c. 649 CE,Princess; Buddhist Patron,"Lichhavi princess, daughter of Amshuverma. Married Tibetan king Songtsen Gampo and is credited with introducing Buddhism to Tibet. Revered as Green Tara in Tibetan Buddhist tradition.",Nepali princess who brought Buddhism to Tibet
Siddhidas Mahaju,,1867 CE,1930 CE,Poet; Social Reformer,"Pioneering Newar poet who wrote in Nepal Bhasa during a period of linguistic suppression. Known for his devotional and socially conscious poetry.",Father of modern Nepal Bhasa poetry
Yogbir Singh Kansakar,,1886 CE,1941 CE,Philanthropist; Activist,"Newar social reformer who fought for caste equality and women's rights in early 20th century Nepal. Imprisoned for his activism against the Rana regime.",Newar social reformer and anti-Rana activist
Chunda Vajracharya,,c. 7th century CE,,Sculptor; Metal Artisan,"Legendary Newar metalwork artist whose lineage of Vajracharya sculptors created some of the finest bronze and copper repoussé works in South Asia.",Pioneer of Newar metalwork tradition
