name,type,description,coordinates,current_status
Kathmandu Durbar Square,monument,"Royal palace complex in central Kathmandu. A UNESCO World Heritage Site featuring Hanuman Dhoka Palace, the Taleju Temple, Kumari Ghar, and dozens of temples and courtyards built between the 12th and 18th centuries.","27.7045, 85.3077",partially_ruined
Patan Durbar Square,monument,"Historic royal palace complex in Lalitpur (Patan), known for its concentration of Newar architecture. Houses the Patan Museum, Krishna Mandir, and the Golden Temple. UNESCO World Heritage Site.","27.6726, 85.3254",partially_ruined
Bhaktapur Durbar Square,monument,"Best-preserved medieval town center among the three Durbar Squares. Features the 55-Window Palace, Nyatapola Temple, and Vatsala Temple. UNESCO World Heritage Site.","27.6710, 85.4283",partially_ruined
Swayambhunath,temple,"Ancient Buddhist stupa atop a hill west of Kathmandu. Known as the Monkey Temple. One of the oldest religious sites in Nepal, dating to the 5th century CE. Features the iconic Buddha eyes.","27.7149, 85.2903",preserved
Boudhanath Stupa,temple,"One of the largest spherical stupas in the world. Center of Tibetan Buddhism in Nepal, surrounded by over 50 Tibetan monasteries. UNESCO World Heritage Site.","27.7215, 85.3620",preserved
Pashupatinath Temple,temple,"Sacred Hindu temple on the banks of the Bagmati River. Dedicated to Lord Shiva (Pashupati). One of the most important Shiva temples in the world. UNESCO World Heritage Site.","27.7109, 85.3487",preserved
Changu Narayan Temple,temple,"Oldest Hindu temple in the Kathmandu Valley, dating to the 4th century CE. Dedicated to Vishnu. Renowned for its early Lichhavi-era stone inscriptions and sculptures. UNESCO World Heritage Site.","27.7178, 85.4280",preserved
Lumbini,archaeological_site,"Birthplace of Siddhartha Gautama (Lord Buddha). Located in the Rupandehi district. Features the Mayadevi Temple, Ashoka Pillar (249 BCE), and sacred garden. UNESCO World Heritage Site.","27.4833, 83.2767",preserved
Kirtipur,city,"Ancient Newar city on a hilltop southwest of Kathmandu. Known for the Bagh Bhairav Temple, Chilancho Stupa, and its fierce resistance during Prithvi Narayan Shah's unification campaign.","27.6792, 85.2781",partially_ruined
Nuwakot Durbar,monument,"Fortified palace complex in Nuwakot district. Built by Prithvi Narayan Shah as a strategic stronghold during the unification of Nepal. Seven-story tower with traditional architecture.","27.9120, 85.1635",partially_ruined
Thimi,city,"Ancient Newar town between Kathmandu and Bhaktapur. Famous for pottery, mask-making, and the spectacular Bisket Jatra celebrations with sindoor throwing.","27.6817, 85.3883",preserved
Sankhu,city,"One of the oldest settlements in the Kathmandu Valley. Known for the Bajrayogini Temple and its traditional Newar architecture. Severely damaged in the 2015 earthquake.","27.7564, 85.4661",partially_ruined
