name,structure_type,architectural_style,construction_date,location_name,coordinates,existence_status,condition,description
Nyatapola Temple,Temple,Pagoda,1702 CE,Bhaktapur Durbar Square,"27.6716, 85.4284",Extant,Good,"Five-story pagoda temple — the tallest in Nepal. Built by King Bhupatindra Malla. Dedicated to Siddhi Lakshmi. Survived both the 1934 and 2015 earthquakes."
Krishna Mandir,Temple,Shikhara,1637 CE,Patan Durbar Square,"27.6726, 85.3255",Extant,Good,"Stone shikhara-style temple dedicated to Krishna. Built by King Siddhi Narsingh Malla. Features 21 golden spires and stone friezes depicting the Mahabharata."
Kasthamandap,Pati,Pagoda,c. 12th century CE,Kathmandu Durbar Square,"27.7037, 85.3068",Destroyed,Ruinous,"Legendary three-story public rest house said to be made from a single tree. Gave Kathmandu its name. Collapsed in the 2015 earthquake; reconstruction ongoing."
Dharahara,Other,Mughal,1832 CE,Central Kathmandu,"27.7005, 85.3120",Restored,Good,"Nine-story watchtower built by Prime Minister Bhimsen Thapa. Collapsed in 2015 earthquake. Rebuilt in 2021 with earthquake-resistant design."
55-Window Palace,Sattal,Pagoda,1427 CE,Bhaktapur Durbar Square,"27.6712, 85.4282",Extant,Fair,"Royal palace known for its balcony with 55 intricately carved wooden windows. Built during the reign of King Yaksha Malla. Houses the National Art Gallery."
Golden Gate (Sun Dhoka),Other,Mixed,1753 CE,Bhaktapur Durbar Square,"27.6713, 85.4283",Extant,Excellent,"Gilt copper gate considered the finest example of metalwork in the Valley. Entrance to the Taleju Chowk of the Royal Palace. Features Garuda, nagas, and ten-armed Taleju."
Bagh Bhairav Temple,Temple,Pagoda,c. 16th century CE,Kirtipur,"27.6800, 85.2785",Extant,Fair,"Temple dedicated to the tiger form of Bhairav. Walls covered with weapons from the Gorkha conquest. Important religious site for Kirtipur's Newar community."
Rani Pokhari,Pokhari,Rana_Neoclassical,1670 CE,Central Kathmandu,"27.7085, 85.3147",Restored,Good,"Artificial pond built by King Pratap Malla in memory of his son. Features a Shiva temple in the center. Restored after 2015 earthquake damage."
Patan Museum,Sattal,Pagoda,c. 14th century CE,Patan Durbar Square,"27.6726, 85.3254",Extant,Excellent,"Former Malla royal residence converted to museum in 1997. Houses one of South Asia's finest collections of bronze statues and religious art. Austrian-restored."
Mayadevi Temple,Temple,Other,c. 3rd century BCE,Lumbini Sacred Garden,"27.4686, 83.2762",Restored,Good,"Temple at the exact birthplace of Buddha. Contains the marker stone and sacred pool (Puskarni). Excavations revealed pre-Ashokan brick structures dating to 6th century BCE."
