name,type,description,start_date,end_date,recurrence
Indra Jatra,festival,"Eight-day festival honoring Indra, the king of heaven. Features the living goddess Kumari's chariot procession through Kathmandu, masked Lakhe dances, and the display of Akash Bhairav.",Bhadra/Ashwin (Sep),8 days,annual
Bisket Jatra,festival,"Nepali New Year festival in Bhaktapur. A massive chariot carrying Bhairav is pulled through the streets. Includes the famous tongue-piercing ritual and a tug-of-war with the chariot.",Baisakh 1 (mid-Apr),9 days,annual
Dashain,festival,"The longest and most important Hindu festival in Nepal. Celebrates the goddess Durga's victory over the buffalo demon Mahishasura. Involves animal sacrifices, tika, and jamara.","Ashwin/Kartik (Sep-Oct)",15 days,annual
Tihar,festival,"Five-day festival of lights honoring Yama (god of death), crows, dogs, cows, and brothers. Includes Laxmi Puja with oil lamps and the Newar New Year (Mha Puja).",Kartik (Oct-Nov),5 days,annual
Gorkha Unification Campaign,historical,"Prithvi Narayan Shah's military campaign to unify the small kingdoms of Nepal into a single nation. Began with the siege of the Kathmandu Valley.",1743 CE,1769 CE,one_time
1934 Bihar-Nepal Earthquake,historical,"Massive 8.0 magnitude earthquake that devastated the Kathmandu Valley. Destroyed Dharahara tower, damaged Bhaktapur Durbar Square, and killed over 8500 people in Nepal.",January 15 1934,,one_time
2015 Gorkha Earthquake,historical,"7.8 magnitude earthquake centered in Gorkha district. Destroyed or damaged 750000 structures including Dharahara, portions of all three Durbar Squares, and hundreds of heritage temples.",April 25 2015,,one_time
Rato Machindranath Jatra,festival,"Longest chariot festival in Patan. The red-faced deity Machindranath is pulled through Patan's streets in a towering chariot over several weeks to ensure good monsoon rains.",Baisakh (Apr-May),Several weeks,annual
Ghode Jatra,ceremony,"Horse racing festival held at Tundikhel in Kathmandu. Legend says galloping horses keep a demon buried beneath the ground. Observed by the Nepal Army with horse races and acrobatics.",Chaitra (Mar-Apr),,annual
Mha Puja,ceremony,"Newar New Year self-worship ceremony. Participants sit in a mandala circle and perform rituals to purify and honor the self. Marks Nepal Sambat New Year.",Kartik Amavasya (Oct-Nov),,annual
