subject_model,subject_name,object_model,object_name,predicate,source_citation
Monument,Swayambhunath Stupa,Location,Swayambhunath,relationship.located_in,HeritageGraph curated corpus
Monument,Boudhanath Stupa,Location,Boudhanath Stupa,relationship.located_in,HeritageGraph curated corpus
Monument,Ashoka Stupa (Patan),Location,Patan Durbar Square,relationship.located_in,HeritageGraph curated corpus
Monument,Mahaboudha Chaitya,Location,Patan Durbar Square,relationship.located_in,HeritageGraph curated corpus
ArchitecturalStructure,Nyatapola Temple,Location,Bhaktapur Durbar Square,relationship.located_in,HeritageGraph curated corpus
ArchitecturalStructure,Krishna Mandir,Location,Patan Durbar Square,relationship.located_in,HeritageGraph curated corpus
ArchitecturalStructure,55-Window Palace,Location,Bhaktapur Durbar Square,relationship.located_in,HeritageGraph curated corpus
ArchitecturalStructure,Golden Gate (Sun Dhoka),Deity,Taleju Bhawani,relationship.dedicated_to,HeritageGraph curated corpus
ArchitecturalStructure,Dharahara,Location,Kathmandu Durbar Square,relationship.located_in,HeritageGraph curated corpus
Festival,Bisket Jatra,Location,Bhaktapur Durbar Square,relationship.celebrated_at,HeritageGraph curated corpus
Festival,Rato Machindranath Jatra,Location,Patan Durbar Square,relationship.celebrated_at,HeritageGraph curated corpus
Festival,Indra Jatra,Location,Kathmandu Durbar Square,relationship.celebrated_at,HeritageGraph curated corpus
Festival,Gai Jatra,Location,Kathmandu Durbar Square,relationship.celebrated_at,HeritageGraph curated corpus
Festival,Dashain,Location,Pashupatinath Temple,relationship.celebrated_at,HeritageGraph curated corpus
Festival,Bisket Jatra,Deity,Bhairav,relationship.honors,HeritageGraph curated corpus
Festival,Rato Machindranath Jatra,Deity,Machhindranath,relationship.honors,HeritageGraph curated corpus
Festival,Indra Jatra,Deity,Kumari,relationship.honors,HeritageGraph curated corpus
Guthi,Guthi of Rato Machindranath,Location,Patan Durbar Square,relationship.based_in,HeritageGraph curated corpus
Guthi,Taleju Guthi,Location,Kathmandu Durbar Square,relationship.based_in,HeritageGraph curated corpus
Guthi,Pashupatinath Raj Guthi,Location,Pashupatinath Temple,relationship.based_in,HeritageGraph curated corpus
RitualEvent,Kumari Puja,Location,Kathmandu Durbar Square,relationship.performed_at,HeritageGraph curated corpus
RitualEvent,Navami Puja at Taleju,Location,Kathmandu Durbar Square,relationship.performed_at,HeritageGraph curated corpus
RitualEvent,Homa at Swayambhu,Location,Swayambhunath,relationship.performed_at,HeritageGraph curated corpus
RitualEvent,Shraddha Ceremony,Location,Pashupatinath Temple,relationship.performed_at,HeritageGraph curated corpus
Person,Pratap Malla,Location,Kathmandu Durbar Square,relationship.associated_with,HeritageGraph curated corpus
Person,Amshuverma,HistoricalPeriod,Lichhavi Period,relationship.active_during,HeritageGraph curated corpus
Person,Jaya Sthiti Malla,HistoricalPeriod,Early Malla Period,relationship.active_during,HeritageGraph curated corpus
Person,Bhimsen Thapa,Location,Kathmandu Durbar Square,relationship.associated_with,HeritageGraph curated corpus
Person,Arniko,Location,Patan Durbar Square,relationship.associated_with,HeritageGraph curated corpus
IconographicObject,Kal Bhairav Stone Image,Deity,Bhairav,relationship.depicts,HeritageGraph curated corpus
IconographicObject,Golden Taleju Image,Deity,Taleju Bhawani,relationship.depicts,HeritageGraph curated corpus
IconographicObject,Vishwarupa Vishnu of Changu Narayan,Location,Changu Narayan Temple,relationship.located_in,HeritageGraph curated corpus
Event,Gorkha Unification Campaign,HistoricalPeriod,Shah Period,relationship.active_during,HeritageGraph curated corpus
Event,2015 Gorkha Earthquake,Location,Kathmandu Durbar Square,relationship.located_in,HeritageGraph curated corpus
Event,1934 Bihar-Nepal Earthquake,Location,Bhaktapur Durbar Square,relationship.located_in,HeritageGraph curated corpus
